state,county_name,municipality,name,address,polling_place_type
SD,Lincoln,Sioux Falls,First Evangelical Free Church,"2601 W. 69th St., Sioux Falls",polling_place
SD,Lincoln,Hudson,Hudson Town Hall,"310 4th St., Hudson",polling_place
SD,Lincoln,Hudson,Lands Lutheran Church,"47998 292nd St., Hudson",polling_place
SD,Lincoln,Sioux Falls,Linwood Wesleyan Church,"1101 E. 57th St., Sioux Falls",polling_place
SD,Lincoln,Harrisburg,Shalom Lutheran Church,"1000 Maple St., Harrisburg",polling_place
SD,Lincoln,Worthing,South Lincoln Rural Water,"28647 472nd Ave, Worthing",polling_place
SD,Lincoln,Sioux Falls,Spirit of Joy Lutheran Church,"2208 W Laquinta St, Sioux Falls",polling_place
SD,Lincoln,Tea,Tea City Hall,"600 E. 1st St., Tea",polling_place
SD,Lincoln,Harrisburg,United Methodist Church,"204 Grand Ave., Harrisburg",polling_place
SD,Lincoln,Lennox,West Prairie Lutheran Church,"46788 282nd St., Lennox",polling_place
SD,Lincoln,Worthing,Worthing Civic Center,"121 S Main St., Worthing",polling_place
SD,Lyman,IONA,#01 IONA COMMUNITY CENTER,"26511 266TH ST, IONA",polling_place
SD,Lyman,OACOMA,#04 OACOMA COMMUNITY CENTER,"100 E 3RD ST, OACOMA",polling_place
SD,Lyman,RELIANCE,#06 RELIANCE METHODIST CHURCH,"120 N MAIN AVE, RELIANCE",polling_place
SD,Lyman,LOWER BRULE,#07 GOLDEN BUFFALO CONVENTION CENTER,"307 CRAZY HORSE ST, LOWER BRULE",polling_place
SD,Lyman,KENNEBEC,#09 LYMAN COUNTY COURTHOUSE,"300 S MAIN ST, KENNEBEC",polling_place
SD,Lyman,PRESHO,#12 PRESHO METHODIST CHURCH,"100 W WILLOW AVE, PRESHO",polling_place
SD,Lyman,VIVIAN,#13 VIVIAN FIRE HALL,"738 MAIN AVE, VIVIAN",polling_place
SD,Marshall,Britton,County Community Building,"909 S Main St, Britton",polling_place
SD,Marshall,Eden,Eden Community Center,"302 Broadway Center, Eden",polling_place
SD,Marshall,Britton,Fun After Fifty,"615 Main St, Britton",polling_place
SD,Marshall,Langford,Langford City Hall,"Main St, Langford",polling_place
SD,Marshall,Britton,Norstar Federal Credit Union Meeting Room,"526 8th St, Britton",polling_place
SD,Marshall,Britton,North Marshall Fire Hall,"605 Vander Horck Ave, Britton",polling_place
SD,Marshall,Veblen,Veblen City Hall,"115 N Flick St, Veblen",polling_place
SD,McCook,Bridgewater,Bridgewater Fire Hall,"North Main St, Bridgewater",polling_place
SD,McCook,Canistota,Canistota Legion Hall,"West Main St, Canistota",polling_place
SD,McCook,Montrose,Montrose Community Center,"100 W Main St, Montrose",polling_place
SD,McCook,Salem,Salem Nat'l Guard Armory,"740 N Peck St, Salem",polling_place
SD,McCook,Spencer,Spencer Community Center,"320 Main St, Spencer",polling_place
SD,McPherson,Eureka,Eureka Fire Hall,"518 F Ave., Eureka",polling_place
SD,McPherson,Long Lake,Long Lake Fire Hall,"101 Bacon Ave., Long Lake",polling_place
SD,McPherson,Leola,McPherson County Courthouse,"706 Main Street, Leola",polling_place
SD,Meade,Sturgis,Alkali Community Hall,"13921 Alkali Rd., Sturgis",polling_place
SD,Meade,Black Hawk,Black Hawk Fire Department,"6010 Peaceful Pines Rd., Black Hawk",polling_place
SD,Meade,Box Elder,Box Elder Event Center,"420 Villa Dr., Box Elder",polling_place
SD,Meade,Union Center,Central Meade Co. Community Center,"19617 Ball Field Rd., Union Center",polling_place
SD,Meade,Elm Springs,Elm Springs Fire Department,"17674 Dalzell Rd., Elm Springs",polling_place
SD,Meade,Faith,Faith Community Center,"204 N. Main St., Faith",polling_place
SD,Meade,Hereford,Hereford Hall,"15911 Cross S Rd., Hereford",polling_place
SD,Meade,Marcus,Marcus Church,"18949 Old Marcus Rd., Marcus",polling_place
SD,Meade,New Underwood,New Underwood Community Center,"500 S. ""A"" Avenue, New Underwood",polling_place
SD,Meade,Opal,Opal Church,"17391 Opal Rd., Opal",polling_place
SD,Meade,Piedmont,Piedmont Community Gym,"16159 Second St., Piedmont",polling_place
SD,Meade,Plainview,Plainview Hall,"US Highway 34, Plainview",polling_place
SD,Meade,Faith,Prairie Home Church,"17010 US Hwy 212, Faith",polling_place
SD,Meade,Red Owl,RNA Hall,"18649 Red Owl Rd., Red Owl",polling_place
SD,Meade,Sturgis,Sturgis Community Center,"1401 Lazelle St., Sturgis",polling_place
SD,Meade,Summerset,Summerset City Hall,"12150 Siouxland Rd., Summerset",polling_place
SD,Meade,White Owl,White Owl Community Hall,"Main Street, White Owl",polling_place
SD,Mellette,White River,Emergency Services Building,"415 North Roosevelt, White River",polling_place
SD,Mellette,Norris,Norris Township Hall,"27160 SD HWY 63, Norris",polling_place
SD,Mellette,Wood,Wood Community Hall,"130 South Dakota Street, Wood",polling_place
SD,Miner,Canova,Canova C.A.R.E. Center,"E 242nd Street, Canova",polling_place
SD,Miner,Carthage,Carthage Fire Hall,"107 Buell Street, Carthage",polling_place
SD,Miner,Fedora,Fedora Fire Hall,"23302 421st Avenue, Fedora",polling_place
SD,Miner,Howard,Howard City Armory,"210 Pleasant Street, Howard",polling_place
SD,Minnehaha,Sioux Falls,All Souls Church,"2222 S Cliff Ave, Sioux Falls",polling_place
SD,Minnehaha,Sioux Falls,American Legion,"1701 W Legion Dr, Sioux Falls",polling_place
SD,Minnehaha,Sioux Falls,Asbury United Methodist Church,"2425 S Western Ave, Sioux Falls",polling_place
SD,Minnehaha,Sioux Falls,Avera Prince of Peace Retirement Community,"4500 S Prince of Peace Pl, Sioux Falls",polling_place
SD,Minnehaha,Baltic,Baltic Elementary Gymnasium,"500 3rd St, Baltic",polling_place
SD,Minnehaha,Brandon,Brandon City Hall - Council Chambers,"308 S Main Ave, Brandon",polling_place
SD,Minnehaha,Brandon,Brandon Fire Station,"401 Sioux Blvd, Brandon",polling_place
