state,county_name,municipality,precinct_name,name,address,polling_place_type
SD,Fall River,Hot Springs,CAS,Cascade Fire Hall,"27974 Cascade Rd, Hot Springs",polling_place
SD,Fall River,Edgemont,EDA,St. James Parish Center,"306 3rd Ave, Edgemont",polling_place
SD,Fall River,Hot Springs,HS 1,Mueller Center,"801 S 6th, Hot Springs",polling_place
SD,Fall River,Hot Springs,HS 2,Mueller Center,"801 S 6th, Hot Springs",polling_place
SD,Fall River,Hot Springs,HS 3,Mueller Center,"801 S 6th, Hot Springs",polling_place
SD,Fall River,Hot Springs,HS 4,Mueller Center,"801 S 6th, Hot Springs",polling_place
SD,Fall River,Hot Springs,JAC,Mueller Center,"801 S 6th, Hot Springs",polling_place
SD,Fall River,Oelrichs,Oelrichs Area,Oelrichs Community Center,"108 E 6th St, Oelrichs",polling_place
SD,Faulk,Cresbard,Precinct-1,Cresbard Community Ctr,"204 Main St, Cresbard",polling_place
SD,Faulk,Wecota,Precinct-2,Freedom Farmers Union Local 974,"Wecota Ave, Wecota",polling_place
SD,Faulk,Seneca,Precinct-3,Seneca Community Center,"Pine St, Seneca",polling_place
SD,Faulk,Orient,Precinct-4,Orient Community Ctr.,"Main St, Orient",polling_place
SD,Faulk,Rockham,Precinct-5,Rockham Community Ctr,"116 S Broadway, Rockham",polling_place
SD,Faulk,Faulkton,Precinct-6,Faulkton Community Center,"NULL, Faulkton",polling_place
SD,Faulk,Faulkton,Precinct-7,Faulkton Community Center,"NULL, Faulkton",polling_place
SD,Grant,Milbank,Precinct-11,Milbank City Office,"1001 E 4th Ave, Milbank",polling_place
SD,Grant,Milbank,Precinct-12,Milbank City Office,"1001 E 4th Ave, Milbank",polling_place
SD,Grant,Milbank,Precinct-21,Milbank City Office,"1001 E 4th Ave, Milbank",polling_place
SD,Grant,Milbank,Precinct-22,Milbank City Office,"1001 E 4th Ave, Milbank",polling_place
SD,Grant,Milbank,Precinct-31,Milbank City Office,"1001 E 4th Ave, Milbank",polling_place
SD,Grant,Milbank,Precinct-32,Milbank City Office,"1001 E 4th Ave, Milbank",polling_place
SD,Grant,Milbank,Precinct-33,Milbank City Office,"1001 E 4th Ave, Milbank",polling_place
SD,Grant,Revillo,Precinct-41,Revillo Community Center,"308 N 2nd Ave, Revillo",polling_place
SD,Grant,Milbank,Precinct-42,Milbank Airport,"14871 482nd Ave, Milbank",polling_place
SD,Grant,Big Stone City,Precinct-43,Big Stone City Community Room,"400 Washington St, Big Stone City",polling_place
SD,Grant,Marvin,Precinct-44,Marvin Hall,"204 S Church St, Marvin",polling_place
SD,Grant,LaBolt,Precinct-45,LaBolt Mini Mall,"140 Main St, LaBolt",polling_place
