state,county_name,jurisdiction_type,precinct_name,name,address,polling_location_type
OK,,county,McCURTAIN COUNTY PRECINCT 450025,SMITHVILLE SCHOOL BUILDING,SMITHVILLE COMMUNITY SMITHVILLE OK 74957,polling_location
OK,,county,WOODWARD COUNTY PRECINCT 770203,SHARON UNITED METHODIST CHURCH, SHARON OK 73857,polling_location
OK,,county,TULSA COUNTY PRECINCT 720553,JUDY KISHNER LIBRARY,10150 N CINCINNATI AVE SPERRY OK 74073,polling_location
OK,,county,TULSA COUNTY PRECINCT 720855,CATHEDRAL OF PRAISE CHURCH,4600 S 129 W AVE SAND SPRINGS OK 74063,polling_location
OK,,county,WASHINGTON COUNTY PRECINCT 740048,EAST B'VILLE CHRISTIAN CHURCH,3221 E TUXEDO BLVD BARTLESVILLE OK 74003,polling_location
OK,,county,KIOWA COUNTY PRECINCT 380011,LONE WOLF SENIOR CITIZEN,1101 MAIN ST. LONE WOLF OK 73655,polling_location
OK,,county,ROGERS COUNTY PRECINCT 660009,SAGEEYAH BAPTIST CHURCH,165225 S. HIGHWAY 88 CLAREMORE OK 74017,polling_location
OK,,county,ATOKA COUNTY PRECINCT 030019,STRINGTOWN FIRE DEPT,105 PECAN AVE STRINGTOWN OK 74569,polling_location
OK,,county,MAYES COUNTY PRECINCT 490015,GREENBRIER FREEWILL BAP CHURCH,"5 MI N OF PRYOR,7 MI E,1/4 N PRYOR OK 74361",polling_location
OK,,county,WAGONER COUNTY PRECINCT 730204,TWIN OAKS BAPTIST CHURCH,70076 S 330 ROAD WAGONER OK 74467,polling_location
OK,,county,OKLAHOMA COUNTY PRECINCT 550092,WORD-AFLAME MINISTRIES,9029 E RENO AVE MIDWEST CITY OK 73130,polling_location
OK,,county,WAGONER COUNTY PRECINCT 730206,REGINA CONN RESIDENCE,35893 E 670 ROAD LOCUST GROVE OK 74352,polling_location
OK,,county,OSAGE COUNTY PRECINCT 570106,BURBANK CITY HALL,105 S 1 ST BURBANK OK 74633,polling_location
OK,,county,WAGONER COUNTY PRECINCT 730308,LIVING STONE TEACHING CHURCH,28288 E 141 ST S COWETA OK 74429,polling_location
OK,,county,CLEVELAND COUNTY PRECINCT 140081,ALAMEDA BAPTIST CHURCH,1503 E ALAMEDA ST. NORMAN OK 73071,polling_location
OK,,county,OKLAHOMA COUNTY PRECINCT 550172,COVENANT LIFE CHURCH,3106 N UTAH AVE OKLAHOMA CITY OK 73112,polling_location
OK,,county,GRADY COUNTY PRECINCT 260036,RUSH SPRINGS LIBRARY,500 W BLAKELY RUSH SPRINGS OK 73082,polling_location
OK,,county,McCURTAIN COUNTY PRECINCT 450022,OAK GROVE BAPTIST CHURCH,4 MI E OF BB ON HWY 70 & BROKEN BOW OK 74728,polling_location
OK,,county,McCURTAIN COUNTY PRECINCT 450023,EAGLETOWN SCHOOL BUILDING,EAGLETOWN COMMUNITY EAGLETOWN OK 74734,polling_location
OK,,county,McCURTAIN COUNTY PRECINCT 450036,UNITED METHODIST CHURCH,101 N. BURRIS VALLIANT OK 74764,polling_location
OK,,county,POTTAWATOMIE COUNTY PRECINCT 630021,SOUTH ROCK CREEK SCHOOL,"NS 345 & HARDESTY, 1/8 N WEST SHAWNEE OK 74801",polling_location
OK,,county,TULSA COUNTY PRECINCT 720056,METRO PENTECOSTAL CHURCH,8611 E 21 ST TULSA OK 74129,polling_location
OK,,county,ROGER MILLS COUNTY PRECINCT 650101,DEMPSEY COMMUNITY BUILDING,10-12N-25W CHEYENNE OK 73628,polling_location
OK,,county,POTTAWATOMIE COUNTY PRECINCT 630027,PINK TOWN HALL,22058 PINK LN TECUMSEH OK 74873,polling_location
OK,,county,McCURTAIN COUNTY PRECINCT 450027,BATTIEST SCHOOL BUILDING,BATTIEST COMMUNITY BATTIEST OK 74722,polling_location
OK,,county,SEQUOYAH COUNTY PRECINCT 680301,FIRST CHRISTIAN CHURCH PP,RIGSBY ROAD AND HWY 59 SALLISAW OK 74955,polling_location
OK,,county,SEQUOYAH COUNTY PRECINCT 680204,MCKEY FIRE DEPARTMENT PP,SO. OF MCKEY HILL SALLISAW OK 74955,polling_location
OK,,county,SEQUOYAH COUNTY PRECINCT 680302,SALLISAW CIVIC CENTER PP,111 N. ELM ST. SALLISAW OK 74955,polling_location
OK,,county,WASHINGTON COUNTY PRECINCT 740011,REDEEMER LUTHERAN CHURCH,3700 SE WOODLAND RD BARTLESVILLE OK 74006,polling_location
OK,,county,PITTSBURG COUNTY PRECINCT 610015,KIAMICHI VO-TECH,301 KIAMICHI DRIVE MC ALESTER OK 74501,polling_location
OK,,county,KAY COUNTY PRECINCT 360404,PECKHAM CHRISTIAN CHURCH,7090 W. CHURCH ST NEWKIRK OK 74647,polling_location
