state,election_date,jurisdiction,county_name,precinct_name,name,address,polling_location_type
AR,2018-11-06,county,,Bos-2 J SZ 02 JP 07 CD 04,New Davis Store,New Davis Store  AR ,polling_location
AR,2018-11-06,county,,Bos-3 J SZ 02 JP 03 CD 04,New Davis Store,New Davis Store  AR ,polling_location
AR,2018-11-06,county,,03-1,Powhatan Community Building,225 Highway 117 Spur Powhatan AR 72458,polling_location
AR,2018-11-06,county,,03-2,Powhatan Community Building,225 Highway 117 Spur Powhatan AR 72458,polling_location
AR,2018-11-06,county,,03-3,Powhatan Community Building,225 Highway 117 Spur Powhatan AR 72458,polling_location
AR,2018-11-06,county,,03-4,Powhatan Community Building,225 Highway 117 Spur Powhatan AR 72458,polling_location
AR,2018-11-06,county,,Pon-4 J SZ 03 JP 03 CD 04,Ponca Firestation,  AR ,polling_location
AR,2018-11-06,county,,Pon-5 J SZ 04 JP 03 CD 04,Ponca Firestation,  AR ,polling_location
AR,2018-11-06,county,,Pon-6 ALP SD JP 03 CD 04,Ponca Firestation,  AR ,polling_location
AR,2018-11-06,county,,Pon-7 HSN SD JP 03 CD 04,Ponca Firestation,  AR ,polling_location
AR,2018-11-06,county,,Pon-8 J SZ 03 JP 03 CD 04,Ponca Firestation,  AR ,polling_location
AR,2018-11-06,county,,07-1,Cabot Senior Event Center,Grant Stl Cabot AR 72023,polling_location
AR,2018-11-06,county,,08-1,Cabot Senior Event Center,Grant Stl Cabot AR 72023,polling_location
AR,2018-11-06,county,,08-3,Cabot Senior Event Center,Grant Stl Cabot AR 72023,polling_location
