state,jurisdiction_type,county_name,municipality,precinct_id,name,address
ME,county,Oxford,GILEAD,1-1,Gilead Town Hall ,"10 Depot Street, Gilead "
ME,county,Penobscot,GLENBURN,1-1,Glenburn Municipal Building ,"144 Lakeview Road, Glenburn "
ME,county,Cumberland,GORHAM,1-1,Gorham Middle School ,"106 Weeks Road, Gorham "
ME,county,Cumberland,GORHAM,2-1,Gorham Municipal Center - Shaw Gymnasium,"75 South Street, Gorham "
ME,county,Hancock,GOULDSBORO,1-1,Gouldsboro Community Center Gymnasium,"679 Pond Road, Gouldsboro "
ME,county,Aroostook,GRAND ISLE ,1-1,Grand Isle Town Office- Meeting Room,"366 Main Street, Grand Isle "
ME,county,Washington,GRAND LAKE STREAM PLT ,1-1,James Brite Schoolhouse ,"15 Water Street, Grand Lake Stream Plt"
ME,county,Cumberland,GRAY,All,Newbegin Gym,"22 Main Street, Gray "
ME,county,Hancock,GREAT POND,1-1,Great Pond Town Hall ,"1235 Great Pond Road, Great Pond "
ME,county,Penobscot,GREENBUSH,1-1,Greenbush Town Hall ,"132 Military Road, Greenbush "
ME,county,Androscoggin,GREENE ,1-1,Greene Town Office,"220 Main Street, Greene "
ME,county,Piscataquis,GREENVILLE,1-1,Greenville Town Hall ,"7 Minden Street, Greenville "
ME,county,Oxford,GREENWOOD,1-1,American Legion Hall ,"595 Gore Road, Greenwood "
ME,county,Piscataquis,GUILFORD (and Kingsbury Plt),1-1,Guilford Fire Station ,"4 School Street, Guilford "
ME,county,Kennebec,HALLOWELL,All,Hall Dale Elementary School ,"26 Garden Lane, Hallowell "
ME,county,Aroostook,HAMLIN,1-1,Roosevelt School ,"588 Hamlin Road, Hamlin "
ME,county,Aroostook,HAMMOND,1-1,Hammond School House,"13 Burnt Brow Road, Hammond"
ME,county,Penobscot,HAMPDEN,1-1,Municipal Building Community Room ,"106 Western Avenue, Hampden "
ME,county,Hancock,HANCOCK,1-1,Hancock Town Hall ,"18 Point Road, Hancock "
