county_name,precinct_name,name,address,polling_place_type,state,polling_place_id,notes,precinct_id
Graham,VC6 - FT THOMAS SCHOOL GYM,VOTE CENTER,GRAHAM COUNTY VOTE CENTER,vote_center,AZ,,,
Greenlee,001 EAGLE,EAGLE SCHOOL BUILDING,"UPPER EAGLE CREEK CLIFTON, AZ 85533",polling_place,AZ,,,
Greenlee,002 BLUE,BLUE SCHOOL BUILDING,"BLUE, AZ 85922",polling_place,AZ,,,
Greenlee,VC1 VOTING CENTER-1,MORENCI CLUB  MORENCI AZ.,"MORENCI PLAZA MORENCI, AZ 85540",vote_center,AZ,,,
Greenlee,VC2 VOTING CENTER-2,TRAIN DEPOT,"100 N CORONADO BLVD CLIFTON, AZ 85533",vote_center,AZ,,,
Greenlee,VC3 VOTING CENTER-3,FAIRGROUNDS,"1684 SOUH ANNEX DUNCAN, AZ 85534",vote_center,AZ,,,
La_Paz,051-PARKER,UNITED METHODIST CHURCH,"1300 OCOTILLO AVE PARKER, AZ 85344",polling_place,AZ,,,
La_Paz,052-POSTON,LE PERA SCHOOL,"HOME ECONOMICS ROOM 19121 TAHBO RD POSTON, AZ 85371",polling_place,AZ,,,
La_Paz,054-UPRIVER,LA PAZ CO BOATING SAFETY & TRAINING CENTER,"8484 RIVERSIDE DR PARKER, AZ 85344",polling_place,AZ,,,
La_Paz,055-BOUSE,BOUSE COMMUNITY BUILDING,"44031 E. PLOMOSA RD BOUSE, AZ 85325",polling_place,AZ,,,
La_Paz,056-WENDEN,INDIAN HILL'S AIRPARK PILOT'S LOUNGE,"66957 INDIAN HILLS WAY SALOME, AZ 85348",polling_place,AZ,,,
La_Paz,057-SALOME,INDIAN HILLS AIRPARK PILOT'S LOUNGE,"66901 INDIAN HILLS WAY SALOME, AZ 85348",polling_place,AZ,,,
La_Paz,058-QUARTZSITE,QUARTZSITE SENIOR CENTER,"40 N. MOON MTN. AVE. QUARTZSITE, AZ 85346",polling_place,AZ,,,
La_Paz,059-CIBOLA,CIBOLA WILDLIFE REFUGE,"66600 CIBOLA LAKE RD CIBOLA, AZ 85328",polling_place,AZ,,,
La_Paz,060-EHRENBERG,EHRENBERG FIRE STATION,85334,polling_place,AZ,,,
La_Paz,062-VICKSBURG,INDIAN HILL'S AIRPARK PILOT'S LOUNGE,"66901 INDIAN HILL'S WAY SALOME, AZ 85348",polling_place,AZ,,,
La_Paz,064-QUARTZSITE,QUARTZSITE SENIOR CENTER,"40 N. MOON MOUNTAIN AVE QUARTZSITE, AZ",polling_place,AZ,,,
