state,election_date,jurisdiction_type,county_name,precinct_name,name,address
MI,2012-11-06,county,,PRECINCT 84,CROSS OF GLORY LUT,16661 E STATE FAIR DETROIT MI 48205
MI,2012-11-06,county,,PRECINCT 7,MILFORD SENIOR CTR,1050 ATLANTIC MILFORD MI 48381
MI,2012-11-06,county,,PRECINCT 2,KNIGHTS OF COLUMBUS ,11105 DIXIE HWY BIRCH RUN MI 48415
MI,2012-11-06,county,,PRECINCT 1,REYNOLDS TWP. HALL,215  E EDGERTON STREET HOWARD CITY MI 49329
MI,2012-11-06,county,,PRECINCT 2,TWP HALL LOWER LEVEL,1990 W PARNALL RD JACKSON MI 49201
MI,2012-11-06,county,,PRECINCT 6,WESTDALE SCHOOL,705 S CENTER RD SAGINAW MI 48638
MI,2012-11-06,county,,PRECINCT 2,1ST PRESBY CHURCH,743 W MICHIGAN AVE JACKSON MI 49201
MI,2012-11-06,county,,PRECINCT 1,BLISS TOWNSHIP,TOWNSHIP HALL  265 W STURGEON BAY TRL LEVERING MI 49755
MI,2012-11-06,county,,PRECINCT 1,COMMUNITY CENTER,310 HOMER RD CONCORD MI 49237
MI,2012-11-06,county,,PRECINCT 19,JEROME SCHOOL,1515 SWEET SAGINAW MI 48602
MI,2012-11-06,county,,PRECINCT 1,BOARDMAN TWP. HALL,4859 PINE ST SW SOUTH BOARDMAN MI 49680
MI,2012-11-06,county,,PRECINCT 1,ONTWA TWP. HALL,26225 US HIGHWAY 12 EDWARDSBURG MI 49112
MI,2012-11-06,county,,PRECINCT 28,VILLAGES PARKSIDE II,5000 CONNOR DETROIT MI 48213
MI,2012-11-06,county,,PRECINCT 5,RUBEN DANIELS MIDDLE,1010 HOYT SAGINAW MI 48607
MI,2012-11-06,county,,PRECINCT 2,WALNUT CREEK MIDDLE,7602 WALNUT LAKE ROAD WEST BLOOMFIELD MI 48323
MI,2012-11-06,county,,PRECINCT 1,HARDWOOD COMMUNITY H,N6671 N FORDVILLE RD HARDWOOD MI 49807
MI,2012-11-06,county,,PRECINCT 1,MILLBROOK TWP. HALL,3015 JACKSON RD BLANCHARD MI 49310
MI,2012-11-06,county,,PRECINCT 4,YAKE ELEM,16400 CARTER RD WOODHAVEN MI 48183
MI,2012-11-06,county,,PRECINCT 55,IMMANUEL LUTHERAN,13031 CHANDLER PARK DRIVE DETROIT MI 48213
