election_date,state,jurisdiction,jurisdiction_type,precinct_id,precinct_name,name,address
2018-11-06,TX,Bexar,county,1054,,Kingsborough Middle School,"422 Ashley Rd.San Antonio, TX 78221"
2018-11-06,TX,Bexar,county,1055,,Virginia Myers Elementary School,"3031 Village PkwySan Antonio, TX 78251"
2018-11-06,TX,Bexar,county,"1056,1124",,Mission Del Lago Community Center,"2301 Del Lago PkwySan Antonio, TX 78221"
2018-11-06,TX,Bexar,county,1060,,Bob Hope Elementary School,"3022 Reforma Dr.San Antonio, TX 78211"
2018-11-06,TX,Bexar,county,"1061,1039",,Sky Harbour Elementary School,"5902 Fishers BendSan Antonio, TX 78242"
2018-11-06,TX,Bexar,county,"1064,1146",,City of Von Ormy Municipality,"14729 Quarter Horse Bldg. 1Von Ormy, TX78073"
2018-11-06,TX,Bexar,county,"1065,1063,1123",,Somerset ISD Central Office,"7791 6th St. Somerset, TX78069"
2018-11-06,TX,Bexar,county,"1067,1066",,Southwest ISD Admin Building,"11914 Dragon Ln.San Antonio, TX 78252"
2018-11-06,TX,Bexar,county,"1068,1128",,Luckey Ranch Elementary School,"12045 Luckey RiverSan Antonio, TX78252"
2018-11-06,TX,Bexar,county,"1071,1076",,Adams Hill Elementary School,"9627 Adams Hill Dr.San Antonio, TX 78245"
2018-11-06,TX,Bexar,county,1073,,Ott Elementary School,"100 N GrosenbacherSan Antonio, TX 78253"
2018-11-06,TX,Bexar,county,"1075,1094,1133",,Alan Shepard Middle School,"5558 Ray Ellison Blvd.San Antonio, TX 78242"
2018-11-06,TX,Bexar,county,"1078,1077",,Lowell Middle School,"919 Thompson Pl.San Antonio, TX 78226"
2018-11-06,TX,Bexar,county,1079,,Dr. Winn Murnin Elementary School,"9019 DugasSan Antonio, TX 78251"
2018-11-06,TX,Bexar,county,"1080,1138",,Hatchett Elementary School,"10700 Ingram Rd. San Antonio, TX 78245"
2018-11-06,TX,Bexar,county,1081,,Blue Skies of Texas West,"5100 John D. Ryan Blvd.San Antonio, TX 78245"
2018-11-06,TX,Bexar,county,"1082,1027",,Big Country Elementary School,"2250 Pue Rd.San Antonio, TX 78245"
2018-11-06,TX,Bexar,county,"1083,1130",,Lewis Elementary School,"1000 SeascapeSan Antonio, TX 78251"
2018-11-06,TX,Bexar,county,1084,,Mary Hull Elementary School,"7320 Remuda St.San Antonio, TX 78227"
2018-11-06,TX,Bexar,county,"1085,1043",,Westwood Terrace Elementary School,"2315 Hackamore LaneSan Antonio, TX 78227"
2018-11-06,TX,Bexar,county,1086,,Meadow Village Elementary School,"1406 Meadow Way Dr.San Antonio, TX 78227"
2018-11-06,TX,Bexar,county,1087,,"Henry A Guerra, Jr. Library","7978 Military Drive WSan Antonio, TX 78227"
2018-11-06,TX,Bexar,county,1088,,Perales Elementary School,"1507 Ceralvo St.San Antonio, TX 78237"
2018-11-06,TX,Bexar,county,"1091,1089,1115,1117",,Mission Academy,"9210 South Presa San Antonio, TX 78223"
2018-11-06,TX,Bexar,county,"1092,1059,1062,1105,1114",,Spicewood Park Elementary School,"11303 Tilson Dr.San Antonio, TX 78224"
