state,election_date,jurisdiction_type,county_name,precinct_id,precinct_name,name,address
IA,2012-11-06,county,Black Hawk,X102,Precinct X102,X102 ST JOHN LUTHERAN CHURCH,"715 COLLEGE ST, CEDAR FALLS IA 50613"
IA,2012-11-06,county,Black Hawk,DM00,Black Hawk/Hudson/Lincoln,DM00 HUDSON COMMUNITY CENTER,"525 JEFFERSON ST, HUDSON IA 50643"
IA,2012-11-06,county,Black Hawk,X203,Precinct X203,X203 HEARTLAND VINEYARD CHURCH,"1405 GREENHILL RD, CEDAR FALLS IA 50613"
IA,2012-11-06,county,Boone,MD3,Madrid 3,MADRID COMM ROOM - WARD 3,"303 S WATER ST, MADRID IA 50156"
IA,2012-11-06,county,Boone,RP5,Rural Precinct 5,PILOT MOUND COMM ROOM,"508 PILOT ST, PILOT MOUND IA 50223"
IA,2012-11-06,county,Boone,RP3,Rural Precinct 3,COUNTY SHED - BERKLEY,"262 284TH ST, PERRY IA 50220"
IA,2012-11-06,county,Boone,MD1,Madrid 1,MADRID COMM ROOM - WARD 1,"303 S WATER ST, MADRID IA 50156"
IA,2012-11-06,county,Boone,MD2,Madrid 2,MADRID COMM ROOM - WARD 2,"303 S WATER ST, MADRID IA 50156"
IA,2012-11-06,county,Boone,RP1,Rural Precinct 1,MADRID PUBLIC LIBRARY,"100 W 3RD ST, MADRID IA 50156"
IA,2012-11-06,county,Boone,RP6,Rural Precinct 6,FAIRGROUNDS COMM BLDG - RP6,"1601 INDUSTRIAL PARK RD, BOONE IA 50036"
IA,2012-11-06,county,Boone,RP2,Rural Precinct 2,LUTHER COMM ROOM,"7 LUTHER ST, LUTHER IA 50152"
IA,2012-11-06,county,Boone,OG,Ogden,LEONARD GOOD COMM CENTER,"114 SW 8TH ST, OGDEN IA 50212"
IA,2012-11-06,county,Boone,RP4,Rural Precinct 4,GOOD PUBLIC LIBRARY,"208 W MULBERRY ST, OGDEN IA 50212"
IA,2012-11-06,county,Boone,BN1,Boone 1,FAIRGROUNDS COMM BLDG - BN1,"1601 INDUSTRIAL PARK RD, BOONE IA 50036"
IA,2012-11-06,county,Boone,BN5,Boone 5,COURTHOUSE,"201 STATE ST, BOONE IA 50036"
IA,2012-11-06,county,Boone,BN2,Boone 2,DMACC,"1125 HANCOCK DR, BOONE IA 50036"
IA,2012-11-06,county,Boone,BN3,Boone 3,PAGE SCHOOL,"102 S BOONE ST, BOONE IA 50036"
IA,2012-11-06,county,Boone,BN4,Boone 4/DMS Twp,ERICSON PUBLIC LIBRARY,"702 GREENE ST, BOONE IA 50036"
