state,jurisdiction_type,county_name,precinct_name,name,address
KY,county,,PRECINCT 122 31 DISTRICT,FRATERNAL ORDER OF EAGLES,3501 COLLEGE DR LOUISVILLE KY 40299
KY,county,,PARKER 9,AMERICAN LEGION,500 ENTERPRISE DR. SOMERSET KY 42501
KY,county,,PRECINCT 101 43 DISTRICT,PORTLAND ELEMENTARY SCHOOL GYM,3410 NORTHWESTERN PKWY LOUISVILLE KY 40212
KY,county,,SOUTH SHORE,FIRST CHURCH OF GOD YOUTH CENTER,204 MAIN ST SOUTH SHORE KY 41175
KY,county,,COUNTY GARAGE,WESTSIDE FIRE DEPT,680 CARLISLE RD CARROLLTON KY 41008
KY,county,,WEST SIDE FIRE DEPT,WESTSIDE FIRE DEPT,680 CARLISLE RD CARROLLTON KY 41008
KY,county,,BEECH GROVE,BEECH GROVE FIRE DEPARTMENT,445 ST RT 56 N CALHOUN KY 42327
KY,county,,GLASGOW MIDDLE SCHOOL,GLASGOW MIDDLE SCHOOL,105 SCOTTIE WAY GLASGOW KY 42141
KY,county,,CASEY 9,SOUTH EAST VOL. FIRE DEPARTMENT,14224 E KY 70 BETHELRIDGE KY 42516
KY,county,,CASEY 10,SOUTH EAST VOL. FIRE DEPARTMENT,14224 E KY 70 BETHELRIDGE KY 42516
KY,county,,PRECINCT 108 36 DISTRICT,EASTWOOD RECREATION CTR,16300 EASTWOOD CUTOFF RD LOUISVILLE KY 40245
KY,county,,PRECINCT 111 36 DISTRICT,EASTWOOD RECREATION CTR,16300 EASTWOOD CUTOFF RD LOUISVILLE KY 40245
KY,county,,PRECINCT 109 44 DISTRICT,CRUMS LANE ELEMENTARY SCHOOL GYM,3212 S CRUMS LN LOUISVILLE KY 40216
KY,county,,UNIONTOWN #1,UNIONTOWN CITY HALL,237 MAIN ST UNIONTOWN KY 42461
KY,county,,PRECINCT 110 35 DISTRICT,AUDUBON PARK UNITED METHODIST CHURCH,3200 POPLAR LEVEL RD LOUISVILLE KY 40213
KY,county,,PRECINCT 111 35 DISTRICT,AUDUBON PARK UNITED METHODIST CHURCH,3200 POPLAR LEVEL RD LOUISVILLE KY 40213
KY,county,,PRECINCT 117 35 DISTRICT,AUDUBON PARK UNITED METHODIST CHURCH,3200 POPLAR LEVEL RD LOUISVILLE KY 40213
KY,county,,PRECINCT 129 44 DISTRICT,INCARNATION CATHOLIC CHURCH GYM,2229 LOWER HUNTERS TRCE LOUISVILLE KY 40258
KY,county,,PRECINCT 137 44 DISTRICT,INCARNATION CATHOLIC CHURCH GYM,2229 LOWER HUNTERS TRCE LOUISVILLE KY 40258
KY,county,,INDEPENDENCE #2,INDEPENDENCE SENIOR CENTER,2001 JACK WOODS PKWY INDEPENDENCE KY 41051
KY,county,,INDEPENDENCE #10,INDEPENDENCE SENIOR CENTER,2001 JACK WOODS PKWY INDEPENDENCE KY 41051
KY,county,,PRECINCT 160 34 DISTRICT,ST MATTHEWS BAPTIST CHURCH LOBBY,3515 GRANDVIEW AVE LOUISVILLE KY 40207
KY,county,,PRECINCT 165 34 DISTRICT,ST MATTHEWS BAPTIST CHURCH LOBBY,3515 GRANDVIEW AVE LOUISVILLE KY 40207
