state,election_date,jurisdiction_type,county_name,precinct_name,name,address,polling_location_type
PA,2012-11-06,county,,HARBORCREEK TWP. 1ST DISTRICT,FAITH LUTHERAN CHURCH,5414 E LAKE RD ERIE PA 16511,polling_location
PA,2012-11-06,county,,CHELTENHAM 6-2,ELKINS PARK FREE LIBRARY,563 CHURCH RD ELKINS PARK PA 19027,polling_location
PA,2012-11-06,county,,SPRINGFIELD TOWNSHIP 7TH WARD 1ST PREC,THE SPRINGFIELD MASONIC LODGE,400 W WOODLAND AVE SPRINGFIELD PA 19064,polling_location
PA,2012-11-06,county,,LANCASTER CITY 6W 9P,CHRISTIAN AND MISSIONARY ALLIANCE CHURCH,210 PITNEY RD LANCASTER PA 17601,polling_location
PA,2012-11-06,county,,CHELTENHAM 7-3,ST JOSEPHS ROMAN CATHOLIC CHURCH,7631 WATERS RD CHELTENHAM PA 19012,polling_location
PA,2012-11-06,county,,"EAST PENNSBORO, 9P",EAST PENN SENIOR CENTER,98 S ENOLA DR ENOLA PA 17025,polling_location
PA,2012-11-06,county,,PITTSBURGH 15 05,GREENFIELD PRESBYTERIAN CH ALJER ST ENT,3939 COLEMAN ST PITTSBURGH PA 15207,polling_location
PA,2012-11-06,county,,HORSHAM 3-1,VETERANS OF FOREIGN WARS,324 SAW MILL LN HORSHAM PA 19044,polling_location
PA,2012-11-06,county,,CHELTENHAM 4-3,WYNCOTE ELEMENTARY SCHOOL,333 RICES MILL ( &amp;amp; BARKER RD) RD WYNCOTE PA 19095,polling_location
PA,2012-11-06,county,,BETHEL TOWNSHIP 4TH PRECINCT,BETHEL SPRINGS ELEMENTARY SCHOOL,3280 FOULK RD GARNET VALLEY PA 19060,polling_location
PA,2012-11-06,county,,HORSHAM 1-4,HALLOWELL ELEMENTARY SCHOOL,200 MAPLE AVE HORSHAM PA 19044,polling_location
PA,2012-11-06,county,,HORSHAM 3-3,LUTHERAN CHURCH OF THE RESURRECTION,620 WELSH RD HORSHAM PA 19044,polling_location
PA,2012-11-06,county,,WOOD TOWNSHIP,LION'S MEETING ROOM,134 MAIN ST ROBERTSDALE PA 16674,polling_location
PA,2012-11-06,county,,DOUGLASS 4,GILBERTSVILLE FIRE &amp;amp; RESCUE CO,1454 E PHILADELPHIA AVE GILBERTSVILLE PA 19525,polling_location
