state,election_date,jurisdiction_type,county_name,precinct_id,precinct_name,name,address
PA,2018-11-06,county,ALLEGHENY,1700002,MILLVALE 00 02,CHRIST LUTHERAN CHURCH,"917 EVERGREEN AVE, MILLVALE, PA 15209"
PA,2018-11-06,county,ALLEGHENY,1700003,MILLVALE 00 03,MILLVALE COMMUNITY CENTER,"416 LINCOLN AVE, MILLVALE, PA 15209"
PA,2018-11-06,county,ALLEGHENY,1700004,MILLVALE 00 04,HOLY SPIRIT SCHOOL GYM,"608 FARRAGUT ST, PITTSBURGH, PA 15209"
PA,2018-11-06,county,ALLEGHENY,1700005,MILLVALE 00 05,CHRIST LUTHERAN CHURCH,"917 EVERGREEN AVE, MILLVALE, PA 15209"
PA,2018-11-06,county,ALLEGHENY,1710101,MONROEVILLE 01 01,MELLON PLAN MONROEVILLE VOL FIRE CO #3,"2601 THIRD ST, MONROEVILLE, PA"
PA,2018-11-06,county,ALLEGHENY,1710102,MONROEVILLE 01 02,NEW CONVENANT CHURCH,"2225 GRANDVIEW AVE, MONROEVILLE, PA"
PA,2018-11-06,county,ALLEGHENY,1710103,MONROEVILLE 01 03,DR CLEVELAND STEWARD ELEMENTARY,"5000 GATEWAY CAMPUS, MONROEVILLE, PA 15146"
PA,2018-11-06,county,ALLEGHENY,1710104,MONROEVILLE 01 04,DR CLEVELAND STEWARD ELEMENTARY,"5000 GATEWAY CAMPUS, MONROEVILLE, PA 15146"
PA,2018-11-06,county,ALLEGHENY,1710201,MONROEVILLE 02 01,CROSSROADS PRES CH FELLOWSHIP HL,"2310 HAYMAKER RD, MONROEVILLE, PA"
PA,2018-11-06,county,ALLEGHENY,1710202,MONROEVILLE 02 02,CROSSROADS PRES CH FELLOWSHIP HL,"2310 HAYMAKER RD, MONROEVILLE, PA"
PA,2018-11-06,county,ALLEGHENY,1710203,MONROEVILLE 02 03,NORTH AMERICAN MARTYRS SCHOOL,"2526 HAYMAKER RD, MONROEVILLE, PA"
PA,2018-11-06,county,ALLEGHENY,1710301,MONROEVILLE 03 01,GATEWAY MIDDLE SCHOOL,"4450 OLD WM PENN HWY, MONROEVILLE, PA"
PA,2018-11-06,county,ALLEGHENY,1710302,MONROEVILLE 03 02,RESURRECTION CHURCH,"455 CTR RD, MONROEVILLE, PA"
PA,2018-11-06,county,ALLEGHENY,1710303,MONROEVILLE 03 03,RESURRECTION CHURCH 1ST FLOOR,"455 CTR RD, MONROEVILLE, PA"
PA,2018-11-06,county,ALLEGHENY,1710304,MONROEVILLE 03 04,UNIVERSITY PARK ELEMENTARY SCHOOL,"320 NOEL DR, MONROEVILLE, PA"
PA,2018-11-06,county,ALLEGHENY,1710401,MONROEVILLE 04 01,GRACE BAPTIST CHURCH RM 13,"4518 NORTHERN PIKE, MONROEVILLE, PA 15146"
PA,2018-11-06,county,ALLEGHENY,1710402,MONROEVILLE 04 02,GRACE BAPTIST CHURCH RM 13,"4518 NORTHERN PIKE, MONROEVILLE, PA 15146"
PA,2018-11-06,county,ALLEGHENY,1710403,MONROEVILLE 04 03,UNIVERSITY PARK ELEMENTARY SCHOOL,"320 NOEL DR, MONROEVILLE, PA"
PA,2018-11-06,county,ALLEGHENY,1710501,MONROEVILLE 05 01,MONROEVILLE VOL FIRE CO #1,"122 ELMWOOD ST, MONROEVILLE, PA"
PA,2018-11-06,county,ALLEGHENY,1710502,MONROEVILLE 05 02,MONROEVILLE VOL FIRE CO #1,"122 ELMWOOD ST, MONROEVILLE, PA"
PA,2018-11-06,county,ALLEGHENY,1710503,MONROEVILLE 05 03,DR CLEVELAND STEWARD  ELEMENTARY,"5000 GATEWAY CAMPUS, MONROEVILLE, PA 15146"
PA,2018-11-06,county,ALLEGHENY,1710504,MONROEVILLE 05 04,MONROEVILLE VOL FIRE CO #1,"122 ELMWOOD ST, MONROEVILLE, PA"
PA,2018-11-06,county,ALLEGHENY,1710601,MONROEVILLE 06 01,HILLCREST UNITED PRESBY CHURCH,"1622 JAMES ST, MONROEVILLE, PA"
PA,2018-11-06,county,ALLEGHENY,1710602,MONROEVILLE 06 02,HILLCREST UNITED PRESBY CHURCH,"1622 JAMES ST, MONROEVILLE, PA"
PA,2018-11-06,county,ALLEGHENY,1710603,MONROEVILLE 06 03,BORO BLDG COUNCIL CHAMBERS,"2700 MONROEVILLE BLVD, MONROEVILLE, PA 15146"
