state,county_name,municipality,precinct_id,name,address
RI,,LINCOLN,1710,LINCOLN MANOR,"10 FRANKLIN ST, LINCOLN, RI 00000"
RI,,LINCOLN,1711,ST JUDES PARISH CENTER,"301 FRONT ST, LINCOLN, RI 00000"
RI,,LINCOLN,1712,TOWN HALL -LIMITED,"100 OLD RIVER RD, LINCOLN, RI 00000"
RI,,LITTLE COMPTON,1801,JOSEPHINE WILBUR - AUDITORIUM,"28 COMMONS, LITTLE COMPTON, RI 00000"
RI,,LITTLE COMPTON,1802,JF WILBUR MCMAHON SCHOOL - AUDITORIUM - LIMITED,"28 COMMONS, LITTLE COMPTON, RI 00000"
RI,,MIDDLETOWN,1901,FOP LODGE,"464 MITCHELL'S LN, MIDDLETOWN, RI 00000"
RI,,MIDDLETOWN,1902,JOSEPH H. GAUDET SCHOOL - GYM TURNER RD ENTERANCE,"1113 AQUIDNECK AVE, MIDDLETOWN, RI 00000"
RI,,MIDDLETOWN,1903,AQUIDNECK SCHOOL - CAFETERIA,"70 RESERVOIR RD, MIDDLETOWN, RI 00000"
RI,,MIDDLETOWN,1904,MIDDLETOWN HIGH SCHOOL -GYMNASIUM,"130 VALLEY RD, MIDDLETOWN, RI 00000"
RI,,MIDDLETOWN,1905,FOREST AVENUE SCHOOL - CAFETERIA,"315 FOREST AVE, MIDDLETOWN, RI 00000"
RI,,MIDDLETOWN,1906,TOWN HALL - LIMITED,"350 E MAIN RD, MIDDLETOWN, RI 00000"
RI,,NARRAGANSETT,2001,NORTH BEACH CLUBHOUSE,"79 BOSTON NECK RD, NARRAGANSETT, RI 00000"
RI,,NARRAGANSETT,2002,METTATUXET YACHT CLUB,"30 S RIVER DR, NARRAGANSETT, RI 00000"
RI,,NARRAGANSETT,2003,ST VERONICA'S CHURCH,"1035 BOSTON NECK RD, NARRAGANSETT, RI 00000"
RI,,NARRAGANSETT,2004,NARRAGANSETT PIER SCHOOL,"235 S PIER RD, NARRAGANSETT, RI 00000"
RI,,NARRAGANSETT,2005,ST. MARY'S STAR OF THE SEA CHURCH,"866 POINT JUDITH RD, NARRAGANSETT, RI 00000"
RI,,NARRAGANSETT,2006,TOWN HALL-LIMITED,"25 5TH AVE, NARRAGANSETT, RI 00000"
RI,,NEW SHOREHAM,2201,BLOCK ISLAND TOWN HALL,"16 OLD TOWN RD, NEW SHOREHAM, RI 00000"
RI,,NEW SHOREHAM,2202,BLOCK ISLAND TOWN HALL,"16 OLD TOWN RD, NEW SHOREHAM, RI 00000"
RI,,NEWPORT,2101,FENNER HALL,"15 FENNER AVE, NEWPORT, RI 00000"
RI,,NEWPORT,2102,PELL ELEMENTARY SCHOOL,"35 DEXTER ST, NEWPORT, RI 00000"
RI,,NEWPORT,2103,ST. PETER'S CHURCH (ENT. IN BACK OF BLDG.),"525 BROADWAY, NEWPORT, RI 00000"
RI,,NEWPORT,2104,ST. JOHN'S CHURCH HALL-ENTRANCE ON WILLOW ST,"61 POPLAR ST, NEWPORT, RI 00000"
RI,,NEWPORT,2105,WILLIAM J. DONOVAN MANOR,"19 CHAPEL ST, NEWPORT, RI 00000"
