state,jurisdiction_type,county_name,municipality,name,address,polling_place_type,election_date
NM,county,Curry,Clovis,Spares - ED,"417 Gidding Street, Suite 130, Clovis, NM, 88101",vote_center,11/06/2018
NM,county,Curry,Grady,Grady Senior Citizens Center,"104 W. Main St., Grady, NM, 88120",vote_center,11/06/2018
NM,county,Curry,Clovis,Colonial Clubhouse,"1300 Colonial Parkway, Clovis, NM, 88101",vote_center,11/06/2018
NM,county,Curry,Melrose,Melrose City Hall ,"105 E. Avenue B, Melrose, NM, 88124",vote_center,11/06/2018
NM,county,Curry,Texico,Texico Community Building,"215 N Griffin, Texico, NM, 88135",vote_center,11/06/2018
NM,county,Curry,Clovis,Youth Recreation Building,"1504 E 7th Street, Clovis, NM, 88101",vote_center,11/06/2018
NM,county,De Baca,SPARE,SPARE ED,"SPARE, SPARE, NM, 88119",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,Desert Hills Elementary School - VCC,"280 N Roadrunner Pkwy, Las Cruces, NM, 88011",vote_center,11/06/2018
NM,county,Dona Ana,Garfield,Garfield Elementary School - VCC,"8820 HWY 187, Garfield, NM, 87936",vote_center,11/06/2018
NM,county,Dona Ana,Mesquite,La Mesa Fire Station - VCC,"15765 Highway 28, Mesquite, NM, 88048",vote_center,11/06/2018
NM,county,Dona Ana,Mesilla Park,Frank O'Brien Papen Center - VCC,"304 W Bell Ave, Mesilla Park, NM, 88005",vote_center,11/06/2018
NM,county,Dona Ana,Doña Ana,Doña Ana Community Center - VCC,"5745 Ledesma Dr, Doña Ana, NM, 88007",vote_center,11/06/2018
NM,county,Dona Ana,Organ,Organ Community Center - VCC,"5880 2nd St, Organ, NM, 88052",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,Tombaugh Elementary School - VCC,"226 Carver Rd, Las Cruces, NM, 88005",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,Jornada Elementary School - VCC,"3400 Elks Dr, Las Cruces, NM, 88005",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,Camino Real Middle School - VCC ,"2961 Roadrunner Pkwy, Las Cruces, NM, 88011",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,Corbett Center - VCC,"NMSU , Las Cruces, NM, 88003",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,Vista Middle School - VCC,"4465 Elks Dr, Las Cruces, NM, 88005",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,Las Alturas Fire Station - VCC,"4145 Cholla Dr, Las Cruces, NM, 88011",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,Fairacres Elementary School - VCC,"4501 W Picacho Ave, Las Cruces, NM, 88005",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,Oñate High School - VCC,"5700 Mesa Grande Dr, Las Cruces, NM, 88011",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,Good Samaritan Social Center - VCC,"3011 Buena Vida Cir, Las Cruces, NM, 88011",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,Sonoma Elementary School - VCC,"4201 Northrise Dr, Las Cruces, NM, 88011",vote_center,11/06/2018
NM,county,Dona Ana,Mesilla,Mesilla Elementary School - VCC,"2363 Calle Del Sur, Mesilla, NM, 88005",vote_center,11/06/2018
NM,county,Dona Ana,Santa Teresa,Santa Teresa Middle School-VCC,"4800 McNutt Rd, Santa Teresa, NM, 88008",vote_center,11/06/2018
NM,county,Dona Ana,Vado,Del Cerro Community Center - VCC,"180 La Fe Ave, Vado, NM, 88048",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,DAC Government Center - VCC,"845 N Motel Blvd, Las Cruces, NM, 88007",vote_center,11/06/2018
NM,county,Dona Ana,Radium Springs,Radium Springs Community Center - VCC,"12060 L.B. Lindbeck Rd, Radium Springs, NM, 88007",vote_center,11/06/2018
NM,county,Dona Ana,Hatch,Hatch Valley High School - VCC,"170 E Herrera Rd, Hatch, NM, 87937",vote_center,11/06/2018
NM,county,Dona Ana,Rincon,Rincon Fire Station - VCC,"255 Harlan St, Rincon, NM, 87940",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,East Picacho Elementary School - VCC,"4450 N Valley Dr, Las Cruces, NM, 88007",vote_center,11/06/2018
NM,county,Dona Ana,Anthony,Gadsden Middle School - VCC,"1301 W Washington St, Anthony, NM, 88021",vote_center,11/06/2018
NM,county,Dona Ana,Mesquite,Mesquite Elementary School - VCC,"205 NM Highway 228, Mesquite, NM, 88048",vote_center,11/06/2018
NM,county,Dona Ana,Sunland Park,Desert View Elementary School - VCC,"1105 Valle Vista St, Sunland Park, NM, 88063",vote_center,11/06/2018
NM,county,Dona Ana,San Miguel,North Valley Elementary School - VCC,"300 Cascade Ave, San Miguel, NM, 88058",vote_center,11/06/2018
NM,county,Dona Ana,Berino,Berino Elementary School - VCC,"92 Shrode Rd, Berino, NM, 88021",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,Lynn Middle School - VCC,"950 S Walnut St, Las Cruces, NM, 88001",vote_center,11/06/2018
NM,county,Dona Ana,La Union,La Union Elementary School - VCC,"875 Mercantile Ave, La Union, NM, 88021",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,Las Cruces High School - VCC,"1750 El Paseo Rd, Las Cruces, NM, 88001",vote_center,11/06/2018
NM,county,Dona Ana,Chaparral,Chaparral Middle School - VCC,"290 Lisa Dr, Chaparral, NM, 88081",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,University Hills Elementary School - VCC,"2005 S Locust , Las Cruces, NM, 88001",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,Sierra Middle School - VCC,"1700 Spruce, Las Cruces, NM, 88011",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,Sunrise Elementary School - VCC,"5300 Holman Rd, Las Cruces, NM, 88012",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,New Mexico Farm and Ranch Heritage Museum - VCC,"4100 Dripping Springs Rd, Las Cruces, NM, 88011",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,Mayfield High School - VCC,"1955 N Valley Dr, Las Cruces, NM, 88007",vote_center,11/06/2018
NM,county,Dona Ana,Las Cruces,Spare - VCC,"845 N Motel Blvd, Las Cruces, NM, 88007",vote_center,11/06/2018
NM,county,Eddy,Carlsbad,Lakeview N Canal,"1300 N. Canal St., Carlsbad, NM, 88220",vote_center,11/06/2018
NM,county,Eddy,Carlsbad,Otis Community Center,"2513 Bannister RD, Carlsbad, NM, 88220",vote_center,11/06/2018
NM,county,Eddy,Artesia,County Sub-Office,"602 S. 1st St., Artesia, NM, 88210",vote_center,11/06/2018
NM,county,Eddy,Carlsbad,Hillcrest Baptist Church,"605 N. 6th St., Carlsbad, NM, 88220",vote_center,11/06/2018
NM,county,Eddy,Artesia,Faith Baptist Church,"401 S. 20th Street, Artesia, NM, 88210",vote_center,11/06/2018
NM,county,Eddy,Carlsbad,Eddy County Fire Service Complex,"1400 Commerce Dr., Carlsbad, NM, 88220",vote_center,11/06/2018
NM,county,Eddy,Artesia,Trinity Temple Church,"16th & Hermosa Dr., Artesia, NM, 88210",vote_center,11/06/2018
NM,county,Eddy,Carlsbad,St Peter Lutheran Church,"1302 W. Pierce St., Carlsbad, NM, 88220",vote_center,11/06/2018
NM,county,Eddy,Loving,Loving Middle School,"600 S. 6th St., Loving, NM, 88256",vote_center,11/06/2018
NM,county,Eddy,Carlsbad,Carlsbad Clerk's Office,"325 S. Main St., Carlsbad, NM, 88220",vote_center,11/06/2018
NM,county,Eddy,Artesia,Central Valley Electric Coop,"1505 N. 13th St., Artesia, NM, 88210",vote_center,11/06/2018
NM,county,Eddy,Carlsbad,Jefferson Montessori Academy (JMA),"5010 W. Church St., Carlsbad, NM, 88220",vote_center,11/06/2018
