county_name,municipality,precinct_id,name,address
BOONE,SETH,32,SETH - SHERMAN JR HIGH SCHOOL,"9846 COAL RIVER ROAD, SETH, WV 25181"
BOONE,ORGAS,36,ORGAS - ORGAS COMMUNITY CENTER,"22654 COAL RIVER ROAD, ORGAS, WV 25148"
BOONE,WHITESVILLE,40,WHITESVILLE/SENG CREEK - WHITESVILLE JR HIGH SCHOOL,"37949 COAL RIVER ROAD, WHITESVILLE, WV 25209"
BOONE,SYLVESTER,41,SYLVESTER - SYLVESTER TOWN HALL    SUITE A,"32832 COAL RIVER ROAD, SYLVESTER, WV 25193"
BOONE,MADISON,45,UNEEDA - VETERAN'S MEMORIAL BLDG,"269 WASHINGTON AVE, MADISON, WV 25130"
BOONE,VAN,46,VAN/BANDYTOWN/CAZY - VAN ELEMENTARY,"338 VAN HIGH SCHOOL, VAN, WV 25206"
BOONE,WHARTON,52,BARRETT/WHARTON - WHARTON COMMUNITY CENTER,"178 BENETT DRIVE, WHARTON, WV 25208"
BOONE,MADISON,53,BROWN SCHOOL - VETERAN'S MEMORIAL BLDG,"269 WASHINGTON AVE, MADISON, WV 25130"
BRAXTON,STRANGE CREEK,3,STRANGE CREEK MASONIC LODGE,"208 STRANGE CREEK RD, STRANGE CREEK, WV 26639"
BRAXTON,DUCK,6,SERVIA FIRE DEPARTMENT,"2126 SERVIA ELMIRA RD, DUCK, WV 25063"
BRAXTON,FRAMETOWN,9,FRAMETOWN SCHOOL,"96 JEANIE ELLIS DR, FRAMETOWN, WV 26623"
BRAXTON,SUTTON,13,NEWVILLE D&D AUCTION,"2610 AIRPORT RD, SUTTON, WV 26601"
BRAXTON,SUTTON,14,CENTRALIA POPLAR RIDGE CHURCH,"874 STONEY CREEK RD, SUTTON, WV 26601"
BRAXTON,SUTTON,15,LITTLE BIRCH SCHOOL,"55 LITTLE BIRCH RD, SUTTON, WV 26601"
BRAXTON,FLATWOODS,16,FLATWOODS SCHOOL,"142 FLATWOODS CORNER RD, FLATWOODS, WV 26621"
BRAXTON,SUTTON,19,SUTTON OLD FISHER AUTO PARTS,"309 MAIN ST, SUTTON, WV 26601"
BRAXTON,GASSAWAY,23,GASSAWAY FIREHOUSE,"105 5TH ST, GASSAWAY, WV 26624"
BRAXTON,GASSAWAY,24,MARK LEROSE FORD ,"2764 STATE ST, GASSAWAY, WV 26624"
BRAXTON,SUTTON,25,CANFIELD - PAUL DUNN'S HOUSE,"7765 HEROLD RD, SUTTON, WV 26601"
BRAXTON,GASSAWAY,27,CHAPEL COMMUNITY BUILDING,"4077 CHAPEL RD, GASSAWAY, WV 26624"
BRAXTON,EXCHANGE,28,EXCHANGE BELKNAP'S SAW MILL OFFICE,"10882 EXCHANGE RD, EXCHANGE, WV 26619"
BRAXTON,GASSAWAY,32,BRAXTON COUNTY JAMBOREE BUILDING,"258 PARSONS DR, GASSAWAY, WV 26624"
BRAXTON,BURNSVILLE,36,BURNSVILLE COMMUNITY CENTER,"237A KANAWHA AVE, BURNSVILLE, WV 26335"
BRAXTON,COPEN,37,COPEN COMMUNITY BUILDING,"24 WALKER FORK RD, COPEN, WV 26615"
BRAXTON,HEATERS,38,HEATERS COMMUNITY BUILDING,"4350 GAULEY TPKE, HEATERS, WV 26627"
BRAXTON,IRELAND,43,FALLS MILL COMMUNITY BUILDING,"16442 GAULEY TPKE, IRELAND, WV 26376"
BROOKE,WELLSBURG,5,WELLSBURG PRIMARY (CHARLES ST),"1448 MAIN STREET, WELLSBURG, WV 26070"
BROOKE,WELLSBURG,6,COMM.OF CHRIST CHURCH-26TH ST.,"84 26TH STREET, WELLSBURG, WV 26070"
BROOKE,BEECH BOTTOM,11,BEECH BOTTOM COMMUNITY CHRISTIAN CHURCH,"3RD AND HIGH STREETS, BEECH BOTTOM, WV 26030"
BROOKE,BETHANY,14,BETHANY TOWN BUILDING,"326 CHURCH STREET, BETHANY, WV"
BROOKE,WELLSBURG,15,MCKINLEYVILLE FIRE CLUB,"237 CHERRY DRIVE, WELLSBURG, WV 26070"
BROOKE,WINDSOR HEIGHTS,16,FIREMENS CLUB,"821 MAIN STREET, WINDSOR HEIGHTS, WV 26075"
BROOKE,WELLSBURG,17,FRANKLIN FIRE DEPARTMENT,"960 WASHINGTON PIKE, WELLSBURG, WV 26070"
BROOKE,COLLIERS,24,COLLIERS UNITED METHODIST CHURCH,"318 PENNSYLVANIA AVENUE, COLLIERS, WV 26035"
BROOKE,WEIRTON,26,FREEDOM PLACE 2,"3720 MAIN STREET, WEIRTON, WV"
BROOKE,FOLLANSBEE,31,JEFFERSON SCHOOL,"1098 JEFFERSON STREET, FOLLANSBEE, WV 26037"
BROOKE,FOLLANSBEE,33,FOLLANSBEE COMMUNITY HOUSE,"1400 MAIN STREET, FOLLANSBEE, WV 26037"
BROOKE,WEIRTON,34,MILLSOP SCHOOL,"1400 LEGION ROAD, WEIRTON, WV 26062"
BROOKE,WEIRTON,36,ST THOMAS EPISCOPAL CHURCH,"300 THREE SPRINGS CHURCH, WEIRTON, WV 26062"
BROOKE,WELLSBURG,20B,BOARD OF EDUCATION BUILDING,"1201 PLEASANT AVENUE, WELLSBURG, WV"
BROOKE,WELLSBURG,21A,BOARD OF EDUCATION BUILDING,"1201 PLEASANT AVENUE, WELLSBURG, WV 26070"
BROOKE,WELLSBURG,21B,FRANKLIN SCHOOL,"1305 WASHINGTON PIKE, WELLSBURG, WV 26070"
BROOKE,FOLLANSBEE,23A,HOOVERSON HTS SCHOOL,"200 ROCKDALE ROAD, FOLLANSBEE, WV 26037"
BROOKE,FOLLANSBEE,23B,HOOVERSON HTS FIRE DEPT,"116 MAY ROAD, FOLLANSBEE, WV 26037"
BROOKE,FOLLANSBEE,23C,CHURCH OF CHRIST (HOOV HTS),"102 CHURCH AVENUE, FOLLANSBEE, WV 26037"
BROOKE,FOLLANSBEE,32A,FOLL. MID. SCH. FIELD HOUSE,"1400 MAIN STREET, FOLLANSBEE, WV 26037"
BROOKE,COLLIERS,35A,OPEN DOOR BAPTIST CHURCH,"87B ELDERSVILLE ROAD, COLLIERS, WV 26035"
BROOKE,COLLIERS,35B,OPEN DOOR BAPTIST CHURCH,"87B ELDERSVILLE ROAD, COLLIERS, WV 26035"
