state,election_date,jurisdiction_type,municipality,precinct_name,name,address
NH,2014-11-04,municipality,BERLIN ,WARD 03,WARD 03 - Precinct 3 - Brown,School Cafeteria - Eighth Street Entrance 190 Norway St Berlin NH 03570
NH,2014-11-04,municipality,BERLIN ,WARD 04,WARD 04 - Precinct 4 -,Community Bible Church - Sullivan Street Entrance 593 Sullivan St Berlin NH 03570
NH,2014-11-04,municipality,BETHLEHEM,,Bethlehem Town Hall,2155 Main St Bethlehem NH 03574
NH,2014-11-04,municipality,BOSCAWEN,,Boscawen Town Hall,12 High St Boscawen NH 03303
NH,2014-11-04,municipality,BOW,,Bow Memorial School,20 Bow Center Rd Bow NH 03304
NH,2014-11-04,municipality,BRADFORD,,Kearsarge Regional,Elementary School 163 Old Warner Rd Bradford NH 03221
NH,2014-11-04,municipality,BRENTWOOD,,Brentwood Recreation Center,190 Rte 125 Brentwood NH 03833
NH,2014-11-04,municipality,BRIDGEWATER,,Bridgewater Town Hall,297 Mayhew Tpke Bridgewater NH 03222
NH,2014-11-04,municipality,BRISTOL,,Marian Center,17 West Shore Rd Bristol NH 03222
NH,2014-11-04,municipality,BROOKFIELD,,Brookfield Office Building,267 Wentworth Rd Brookfield NH 03872
NH,2014-11-04,municipality,BROOKLINE,,Captain Samuel Douglas,Academy 24 Townsend Hill Rd Brookline NH 03033
NH,2014-11-04,municipality,CAMBRIDGE,,Errol Town Hall,33 Main St Cambridge NH 03579
NH,2014-11-04,municipality,CAMPTON,,Campton Municipal Building,12 Gearty Way Campton NH 03223
NH,2014-11-04,municipality,CANAAN,,Canaan Fire Station,62 Nh Rt 118 Canaan NH 03741
NH,2014-11-04,municipality,CANDIA,,Henry W Moore School,12 Deerfield Rd Candia NH 03034
NH,2014-11-04,municipality,CANTERBURY,,Old Town Hall,11 Center Rd Canterbury NH 03224
NH,2014-11-04,municipality,CARROLL,,Carroll Town Hall/Twin,Mountain 92 School St Carroll NH 03595
NH,2014-11-04,municipality,CENTER HARBOR,,Center Harbor Town Office,36 Main St Center Harbor NH 03226
NH,2014-11-04,municipality,CHARLESTOWN,,Library-Municipal Building,26 Railroad St Charlestown NH 03603
NH,2014-11-04,municipality,CHATHAM,,Chatham Town Hall,1071 Main Rd Chatham NH 03813
NH,2014-11-04,municipality,CHESTER,,Chester Municipal Office,84 Chester St Chester NH 03036
NH,2014-11-04,municipality,CHESTERFIELD,,Chesterfield Town Hall,518 Route 63 Chesterfield NH 03443
NH,2014-11-04,municipality,CHICHESTER,,Chichester Town Hall,54 Main St Chichester NH 03258
NH,2014-11-04,municipality,CLAREMONT ,WARD 01,WARD 01 - Claremont Middle,School 107 South St Claremont NH 03743
NH,2014-11-04,municipality,CLAREMONT ,WARD 02,WARD 02 - Claremont Middle,School 107 South St Claremont NH 03743
NH,2014-11-04,municipality,CLAREMONT ,WARD 03,WARD 03 - Disnard,Elementary School 160 Hanover St Claremont NH 03743
NH,2014-11-04,municipality,CLARKSVILLE,,Clarksville Town Hall,408 Nh Rt 145 Clarksville NH 03592
NH,2014-11-04,municipality,COLEBROOK,,Colebrook Elementary School,Gym 27 Dumont St Colebrook NH 03576
NH,2014-11-04,municipality,COLUMBIA,,Columbia Town Hall,1919 Us Route 3 Columbia NH 03576
NH,2014-11-04,municipality,CONCORD ,WARD 01,WARD 01 - Immaculate,Conception Church 9 Bonney St Concord NH 03303
NH,2014-11-04,municipality,CONCORD ,WARD 02,WARD 02 - West,Congregational Church 499 North State St Concord NH 03301
NH,2014-11-04,municipality,CONCORD ,WARD 03,WARD 03 - Beaver Meadow,Golf Course 1 Beaver Meadow St Concord NH 03301
NH,2014-11-04,municipality,CONCORD ,WARD 04,WARD 04 - Boys & Girls Club,Of Greater Concord 55 Bradley - Polling Place Only St Concord NH 03301
NH,2014-11-04,municipality,CONCORD ,WARD 05,WARD 05 - Green Street,Community Center 39 Green St Concord NH 03301
NH,2014-11-04,municipality,CONCORD ,WARD 06,WARD 06 - St John's Church,72 South Main St Concord NH 03301
NH,2014-11-04,municipality,CONCORD ,WARD 07,WARD 07 - West Street Ward,House 41 West St Concord NH 03301
NH,2014-11-04,municipality,CONCORD ,WARD 08,WARD 08 - Bektash Temple,189 Pembroke Rd Concord NH 03301
NH,2014-11-04,municipality,CONCORD ,WARD 09,WARD 09 - Havenwood,33 Christian Ave Concord NH 03301
NH,2014-11-04,municipality,CONCORD ,WARD 10,WARD 10 - Broken Ground,School 123 Portsmouth St Concord NH 03301
NH,2014-11-04,municipality,CONWAY,,Conway Community Building,1808 East Main St Conway NH 03813
NH,2014-11-04,municipality,CORNISH,,Cornish Elementary School,994 Town House Rd Cornish NH 03745
NH,2014-11-04,municipality,CROYDON,,Croydon Town Hall,879 Nh Route 10 Croydon NH 03773
NH,2014-11-04,municipality,DALTON,,Dalton Municipal Building,756 Dalton Rd Dalton NH 03598
